Date,Day,Students_Expected,Meals_Prepared,Meals_Served,Previous_Waste_KG,Avg_Waste_Last_7Days,Holiday,Special_Event,Meal_Type,Food_Waste_KG
2023-06-24,Saturday,392,432,367,6.6,11.22,No,No,Dinner,7.89
2023-06-25,Sunday,416,465,363,7.89,11.72,No,No,Lunch,14.81
2023-06-26,Monday,742,787,722,14.81,11.12,No,No,Lunch,10.77
2023-06-27,Tuesday,636,710,590,10.77,11.98,No,No,Lunch,14.45
2023-06-28,Wednesday,518,590,478,14.45,11.96,No,No,Dinner,19.33
2023-06-29,Thursday,432,461,394,19.33,12.27,No,No,Breakfast,12.07
2023-06-30,Friday,389,429,382,12.07,12.58,No,No,Breakfast,8.71
2023-07-01,Saturday,490,552,440,8.71,13.84,No,No,Lunch,16.73
2023-07-02,Sunday,489,544,460,16.73,13.63,No,No,Lunch,13.32
2023-07-03,Monday,698,764,630,13.32,14.35,No,No,Lunch,15.81
2023-07-04,Tuesday,303,316,303,15.81,13.18,Yes,No,Lunch,6.27
2023-07-05,Wednesday,492,544,492,6.27,11.53,No,No,Breakfast,7.77
2023-07-06,Thursday,404,437,360,7.77,11.45,No,No,Breakfast,11.54
2023-07-07,Friday,742,789,737,11.54,11.66,No,No,Lunch,10.2
2023-07-08,Saturday,321,344,294,10.2,10.74,No,No,Breakfast,10.24
2023-07-09,Sunday,157,173,135,10.24,9.86,No,No,Breakfast,7.17
2023-07-10,Monday,504,558,463,7.17,9.39,No,No,Dinner,12.53
2023-07-11,Tuesday,672,736,672,12.53,10.22,No,No,Lunch,12.06
2023-07-12,Wednesday,380,395,344,12.06,10.3,No,No,Breakfast,8.39
2023-07-13,Thursday,609,678,555,8.39,11.13,No,Yes,Dinner,17.29
2023-07-14,Friday,411,460,345,17.29,12.02,No,No,Breakfast,16.44
2023-07-15,Saturday,407,456,369,16.44,12.31,No,No,Dinner,12.32
2023-07-16,Sunday,379,408,347,12.32,12.79,No,No,Dinner,10.52
2023-07-17,Monday,619,661,561,10.52,13.2,No,No,Lunch,15.41
2023-07-18,Tuesday,730,756,602,15.41,15.2,No,No,Lunch,26.01
2023-07-19,Wednesday,412,429,411,26.01,15.06,No,No,Breakfast,7.44
2023-07-20,Thursday,394,409,389,7.44,13.12,No,No,Breakfast,3.73
2023-07-21,Friday,608,692,608,3.73,11.92,No,No,Lunch,7.98
2023-07-22,Saturday,329,343,326,7.98,11.03,No,Yes,Breakfast,6.11
2023-07-23,Sunday,232,265,221,6.11,10.35,No,No,Breakfast,5.8
2023-07-24,Monday,744,852,744,5.8,10.26,No,No,Lunch,14.74
2023-07-25,Tuesday,695,767,680,14.74,8.24,No,No,Lunch,11.91
2023-07-26,Wednesday,324,371,270,11.91,9.46,No,No,Breakfast,15.95
2023-07-27,Thursday,558,602,558,15.95,10.29,No,No,Dinner,9.54
2023-07-28,Friday,372,409,352,9.54,10.49,No,No,Breakfast,9.35
2023-07-29,Saturday,445,504,412,9.35,11.95,No,No,Lunch,16.38
2023-07-30,Sunday,261,282,224,16.38,12.85,No,No,Breakfast,12.09
2023-07-31,Monday,395,443,395,12.09,11.96,No,No,Breakfast,8.51
2023-08-01,Tuesday,751,785,751,8.51,11.21,No,No,Lunch,6.65
2023-08-02,Wednesday,772,835,772,6.65,10.44,No,Yes,Lunch,10.59
2023-08-03,Thursday,602,682,559,10.59,11.32,No,No,Lunch,15.7
2023-08-04,Friday,750,794,643,15.7,12.2,No,No,Lunch,15.51
2023-08-05,Saturday,471,522,427,15.51,11.55,No,No,Lunch,11.78
2023-08-06,Sunday,182,195,167,11.78,10.72,No,No,Breakfast,6.27
2023-08-07,Monday,386,438,375,6.27,10.67,No,No,Breakfast,8.19
2023-08-08,Tuesday,806,865,737,8.19,12.14,No,No,Lunch,16.92
2023-08-09,Wednesday,655,683,655,16.92,11.08,No,No,Lunch,3.22
2023-08-10,Thursday,337,360,302,3.22,9.75,No,No,Breakfast,6.34
2023-08-11,Friday,740,769,740,6.34,8.47,No,No,Lunch,6.58
2023-08-12,Saturday,310,340,268,6.58,8.13,No,No,Breakfast,9.42
2023-08-13,Sunday,253,268,230,9.42,8.08,No,No,Breakfast,5.9
2023-08-14,Monday,272,312,262,5.9,7.84,No,No,Breakfast,6.53
2023-08-15,Tuesday,381,400,364,6.53,6.27,No,No,Breakfast,5.93
2023-08-16,Wednesday,499,539,439,5.93,7.48,No,No,Dinner,11.63
2023-08-17,Thursday,686,719,686,11.63,7.05,No,No,Lunch,3.35
2023-08-18,Friday,357,396,345,3.35,6.95,No,No,Breakfast,5.9
2023-08-19,Saturday,447,504,419,5.9,7.03,No,No,Dinner,9.94
2023-08-20,Sunday,44,49,41,9.94,6.77,Yes,No,Lunch,4.11
2023-08-21,Monday,685,735,627,4.11,8.09,No,No,Lunch,15.75
2023-08-22,Tuesday,747,814,663,15.75,9.8,No,No,Lunch,17.95
2023-08-23,Wednesday,737,769,691,17.95,10.02,No,No,Lunch,13.15
2023-08-24,Thursday,743,835,694,13.15,11.62,No,No,Lunch,14.52
2023-08-25,Friday,813,911,741,14.52,14.55,No,Yes,Lunch,26.46
2023-08-26,Saturday,305,319,276,26.46,14.93,No,No,Breakfast,12.6
2023-08-27,Sunday,493,522,432,12.6,16.39,No,No,Lunch,14.32
2023-08-28,Monday,708,781,708,14.32,15.92,No,No,Lunch,12.45
2023-08-29,Tuesday,411,451,354,12.45,15.86,No,No,Breakfast,17.52
2023-08-30,Wednesday,814,877,778,17.52,16.06,No,No,Lunch,14.56
2023-08-31,Thursday,273,298,250,14.56,15.46,Yes,No,Lunch,10.31
2023-09-01,Friday,334,351,308,10.31,12.88,No,No,Breakfast,8.42
2023-09-02,Saturday,442,455,388,8.42,12.8,No,No,Lunch,12.05
2023-09-03,Sunday,247,272,231,12.05,11.6,No,No,Breakfast,5.86
2023-09-04,Monday,415,429,415,5.86,9.96,No,No,Breakfast,1.02
2023-09-05,Tuesday,606,664,525,1.02,9.37,No,No,Lunch,13.4
2023-09-06,Wednesday,373,413,340,13.4,8.71,No,No,Breakfast,9.92
2023-09-07,Thursday,353,392,315,9.92,8.55,No,No,Breakfast,9.17
2023-09-08,Friday,379,394,367,9.17,7.95,No,No,Breakfast,4.26
2023-09-09,Saturday,420,477,370,4.26,7.39,No,No,Lunch,8.07
2023-09-10,Sunday,529,561,526,8.07,7.01,No,No,Lunch,3.23
2023-09-11,Monday,621,710,560,3.23,9.77,No,No,Lunch,20.36
2023-09-12,Tuesday,383,406,383,20.36,9.05,No,No,Breakfast,8.32
2023-09-13,Wednesday,467,496,436,8.32,8.31,No,No,Dinner,4.73
2023-09-14,Thursday,549,579,549,4.73,8.0,No,No,Dinner,7.02
2023-09-15,Friday,717,742,581,7.02,9.68,No,No,Lunch,16.04
2023-09-16,Saturday,458,487,456,16.04,9.41,No,No,Lunch,6.18
2023-09-17,Sunday,454,479,426,6.18,10.01,No,No,Lunch,7.44
2023-09-18,Monday,231,247,210,7.44,8.01,Yes,No,Lunch,6.37
2023-09-19,Tuesday,629,709,572,6.37,9.22,No,No,Lunch,16.73
2023-09-20,Wednesday,426,485,368,16.73,10.93,No,No,Breakfast,16.71
2023-09-21,Thursday,582,658,572,16.71,11.37,No,No,Dinner,10.14
2023-09-22,Friday,382,425,370,10.14,10.15,No,No,Breakfast,7.45
2023-09-23,Saturday,388,438,359,7.45,10.41,No,No,Dinner,8.05
2023-09-24,Sunday,472,505,432,8.05,10.76,No,No,Lunch,9.9
2023-09-25,Monday,739,815,697,9.9,11.97,No,No,Lunch,14.78
2023-09-26,Tuesday,702,787,634,14.78,12.07,No,No,Lunch,17.43
2023-09-27,Wednesday,449,502,378,17.43,11.93,No,No,Dinner,15.74
2023-09-28,Thursday,348,360,289,15.74,11.96,No,No,Breakfast,10.4
2023-09-29,Friday,517,587,459,10.4,14.13,No,No,Dinner,22.62
2023-09-30,Saturday,217,248,214,22.62,14.73,No,No,Breakfast,12.23
2023-10-01,Sunday,272,291,244,12.23,14.32,No,No,Breakfast,7.03
2023-10-02,Monday,332,374,297,7.03,13.51,No,No,Breakfast,9.15
2023-10-03,Tuesday,368,384,352,9.15,12.05,No,No,Breakfast,7.16
2023-10-04,Wednesday,748,803,728,7.16,11.01,No,No,Lunch,8.45
2023-10-05,Thursday,543,597,481,8.45,12.15,No,No,Lunch,18.43
2023-10-06,Friday,474,533,462,18.43,10.94,No,No,Dinner,14.16
2023-10-07,Saturday,495,554,495,14.16,10.46,No,No,Lunch,8.84
2023-10-08,Sunday,299,337,274,8.84,10.72,No,No,Dinner,8.83
2023-10-09,Monday,733,802,632,8.83,12.73,No,No,Lunch,23.25
2023-10-10,Tuesday,681,753,639,23.25,14.05,No,No,Lunch,16.37
2023-10-11,Wednesday,303,334,296,16.37,13.97,No,No,Breakfast,7.92
2023-10-12,Thursday,426,463,411,7.92,12.85,Yes,Yes,Lunch,10.58
2023-10-13,Friday,644,724,593,10.58,13.64,No,No,Lunch,19.69
2023-10-14,Saturday,306,331,282,19.69,14.08,No,No,Breakfast,11.94
2023-10-15,Sunday,377,398,346,11.94,14.03,No,No,Dinner,8.45
2023-10-16,Monday,689,789,650,8.45,13.37,No,No,Lunch,18.62
2023-10-17,Tuesday,482,498,456,18.62,12.73,No,No,Dinner,11.91
2023-10-18,Wednesday,407,452,350,11.91,13.52,No,No,Breakfast,13.48
2023-10-19,Thursday,136,147,133,13.48,12.75,Yes,No,Breakfast,5.19
2023-10-20,Friday,354,394,335,5.19,10.95,No,No,Breakfast,7.08
2023-10-21,Saturday,355,395,329,7.08,10.42,No,No,Breakfast,8.22
2023-10-22,Sunday,331,356,311,8.22,10.18,No,Yes,Breakfast,6.78
2023-10-23,Monday,397,442,353,6.78,9.24,No,No,Breakfast,12.02
2023-10-24,Tuesday,541,579,506,12.02,9.46,No,No,Dinner,13.43
2023-10-25,Wednesday,683,708,642,13.43,8.69,No,No,Lunch,8.14
2023-10-26,Thursday,676,741,597,8.14,11.12,No,No,Lunch,22.15
2023-10-27,Friday,362,374,340,22.15,11.6,No,No,Breakfast,10.45
2023-10-28,Saturday,445,476,379,10.45,12.94,No,No,Lunch,17.59
2023-10-29,Sunday,264,290,237,17.59,13.74,No,No,Dinner,12.42
2023-10-30,Monday,328,366,310,12.42,13.27,No,No,Breakfast,8.7
2023-10-31,Tuesday,599,659,564,8.7,12.99,No,No,Lunch,11.46
2023-11-01,Wednesday,696,781,593,11.46,14.53,No,No,Lunch,18.91
2023-11-02,Thursday,688,729,682,18.91,12.62,No,No,Lunch,8.81
2023-11-03,Friday,873,968,864,8.81,13.33,No,Yes,Lunch,15.43
2023-11-04,Saturday,232,240,209,15.43,11.89,No,No,Breakfast,7.51
2023-11-05,Sunday,403,417,377,7.51,11.26,No,No,Lunch,8.03
2023-11-06,Monday,660,682,627,8.03,10.88,No,No,Lunch,6.03
2023-11-07,Tuesday,413,458,406,6.03,10.11,No,No,Breakfast,6.07
2023-11-08,Wednesday,523,577,523,6.07,8.5,No,No,Dinner,7.63
2023-11-09,Thursday,703,742,615,7.63,9.96,No,No,Lunch,18.99
2023-11-10,Friday,570,640,522,18.99,10.43,No,No,Dinner,18.72
2023-11-11,Saturday,465,524,449,18.72,11.35,No,No,Lunch,13.95
2023-11-12,Sunday,392,436,332,13.95,11.95,No,No,Lunch,12.28
2023-11-13,Monday,371,408,365,12.28,12.51,No,No,Breakfast,9.94
2023-11-14,Tuesday,679,727,630,9.94,13.73,No,No,Lunch,14.57
2023-11-15,Wednesday,442,498,405,14.57,14.95,No,No,Dinner,16.18
2023-11-16,Thursday,298,316,262,16.18,13.9,Yes,No,Lunch,11.68
2023-11-17,Friday,672,749,604,11.68,13.17,No,No,Lunch,13.57
2023-11-18,Saturday,330,344,310,13.57,12.56,No,No,Breakfast,9.72
2023-11-19,Sunday,596,681,590,9.72,13.03,No,Yes,Lunch,15.56
2023-11-20,Monday,751,854,687,15.56,14.74,No,No,Lunch,21.87
2023-11-21,Tuesday,668,741,629,21.87,14.96,No,No,Lunch,16.13
2023-11-22,Wednesday,684,712,651,16.13,14.23,No,No,Lunch,11.06
2023-11-23,Thursday,773,851,731,11.06,14.51,No,No,Lunch,13.63
2023-11-24,Friday,743,853,732,13.63,14.68,No,No,Lunch,14.77
2023-11-25,Saturday,223,231,195,14.77,14.25,No,No,Breakfast,6.71
2023-11-26,Sunday,30,32,28,6.71,12.63,Yes,No,Breakfast,4.23
2023-11-27,Monday,795,913,766,4.23,12.57,No,No,Lunch,21.48
2023-11-28,Tuesday,655,716,629,21.48,12.48,No,No,Lunch,15.46
2023-11-29,Wednesday,511,583,461,15.46,12.74,No,No,Dinner,12.89
2023-11-30,Thursday,703,776,696,12.89,12.15,No,No,Lunch,9.49
2023-12-01,Friday,716,740,627,9.49,11.82,No,No,Lunch,12.48
2023-12-02,Saturday,411,445,349,12.48,13.1,No,No,Lunch,15.66
2023-12-03,Sunday,338,356,306,15.66,14.27,No,No,Dinner,12.42
2023-12-04,Monday,502,541,460,12.42,12.49,No,No,Dinner,9.03
2023-12-05,Tuesday,584,610,584,9.03,10.99,No,No,Dinner,4.95
2023-12-06,Wednesday,683,709,601,4.95,10.75,No,No,Lunch,11.2
2023-12-07,Thursday,702,760,662,11.2,10.94,No,No,Lunch,10.86
2023-12-08,Friday,354,406,328,10.86,10.39,No,No,Breakfast,8.64
2023-12-09,Saturday,229,254,213,8.64,9.15,No,No,Breakfast,6.92
2023-12-10,Sunday,472,510,472,6.92,8.15,No,No,Lunch,5.42
2023-12-11,Monday,744,840,724,5.42,8.61,No,No,Lunch,12.3
2023-12-12,Tuesday,423,442,376,12.3,9.17,No,No,Breakfast,8.82
2023-12-13,Wednesday,523,544,455,8.82,9.14,No,No,Dinner,11.01
2023-12-14,Thursday,660,741,538,11.01,11.9,No,No,Lunch,30.21
2023-12-15,Friday,474,490,438,30.21,12.8,No,No,Dinner,14.89
2023-12-16,Saturday,421,459,395,14.89,13.26,No,No,Lunch,10.14
2023-12-17,Sunday,407,454,362,10.14,14.56,No,Yes,Breakfast,14.57
2023-12-18,Monday,679,707,616,14.57,14.66,No,No,Lunch,13.0
2023-12-19,Tuesday,264,281,253,13.0,14.69,Yes,No,Dinner,8.98
2023-12-20,Wednesday,728,796,721,8.98,14.67,No,No,Lunch,10.88
2023-12-21,Thursday,780,815,747,10.88,11.62,No,No,Lunch,8.85
2023-12-22,Friday,726,768,680,8.85,10.98,No,No,Lunch,10.43
2023-12-23,Saturday,330,374,320,10.43,10.61,No,No,Dinner,7.57
2023-12-24,Sunday,290,317,276,7.57,9.61,No,No,Dinner,7.58
2023-12-25,Monday,381,415,363,7.58,9.0,No,No,Breakfast,8.7
2023-12-26,Tuesday,466,528,447,8.7,9.22,No,No,Breakfast,10.52
2023-12-27,Wednesday,489,546,486,10.52,8.84,No,Yes,Breakfast,8.22
2023-12-28,Thursday,676,759,591,8.22,10.21,No,No,Lunch,18.46
2023-12-29,Friday,475,546,422,18.46,11.03,No,No,Dinner,16.19
2023-12-30,Saturday,525,540,468,16.19,12.02,No,No,Lunch,14.44
2023-12-31,Sunday,424,469,397,14.44,12.51,No,No,Lunch,11.02
2024-01-01,Monday,671,757,651,11.02,13.53,No,No,Lunch,15.87
2024-01-02,Tuesday,670,725,608,15.87,14.16,No,No,Lunch,14.9
2024-01-03,Wednesday,708,765,678,14.9,14.86,No,No,Lunch,13.17
2024-01-04,Thursday,711,781,616,13.17,15.16,No,No,Lunch,20.54
2024-01-05,Friday,443,483,429,20.54,14.65,No,Yes,Breakfast,12.59
2024-01-06,Saturday,328,355,286,12.59,13.95,No,No,Dinner,9.58
2024-01-07,Sunday,490,514,474,9.58,13.52,No,No,Lunch,7.97
2024-01-08,Monday,359,372,316,7.97,12.11,No,No,Breakfast,6.02
2024-01-09,Tuesday,371,416,371,6.02,10.64,No,No,Breakfast,4.64
2024-01-10,Wednesday,164,179,138,4.64,9.58,Yes,No,Breakfast,5.73
2024-01-11,Thursday,256,265,239,5.73,7.56,Yes,No,Dinner,6.37
2024-01-12,Friday,658,693,568,6.37,8.84,No,No,Lunch,21.55
2024-01-13,Saturday,228,241,205,21.55,9.16,No,No,Breakfast,11.86
2024-01-14,Sunday,569,590,539,11.86,9.54,No,No,Lunch,10.62
2024-01-15,Monday,364,392,364,10.62,9.37,No,No,Breakfast,4.82
2024-01-16,Tuesday,703,728,631,4.82,10.34,No,No,Lunch,11.46
2024-01-17,Wednesday,459,521,429,11.46,11.52,No,No,Dinner,13.94
2024-01-18,Thursday,548,566,507,13.94,12.02,No,No,Dinner,9.91
2024-01-19,Friday,431,463,411,9.91,9.81,No,No,Breakfast,6.04
2024-01-20,Saturday,459,516,444,6.04,9.48,No,No,Lunch,9.56
2024-01-21,Sunday,375,427,340,9.56,9.46,No,No,Dinner,10.48
2024-01-22,Monday,361,390,322,10.48,10.42,No,No,Breakfast,11.52
2024-01-23,Tuesday,536,595,497,11.52,10.54,No,No,Dinner,12.31
2024-01-24,Wednesday,288,321,256,12.31,10.4,Yes,No,Lunch,13.01
2024-01-25,Thursday,686,774,570,13.01,12.52,No,No,Lunch,24.75
2024-01-26,Friday,284,316,256,24.75,13.32,No,No,Breakfast,11.61
2024-01-27,Saturday,381,430,378,11.61,13.23,No,No,Lunch,8.95
2024-01-28,Sunday,456,507,414,8.95,13.88,No,No,Lunch,15.02
2024-01-29,Monday,612,645,573,15.02,13.87,No,No,Lunch,11.46
2024-01-30,Tuesday,465,522,404,11.46,14.85,No,No,Dinner,19.17
2024-01-31,Wednesday,308,349,251,19.17,15.28,No,No,Breakfast,15.98
2024-02-01,Thursday,382,427,351,15.98,13.76,No,No,Breakfast,14.14
2024-02-02,Friday,564,599,509,14.14,14.3,No,No,Dinner,15.37
2024-02-03,Saturday,218,224,182,15.37,14.25,No,No,Breakfast,8.58
2024-02-04,Sunday,469,516,457,8.58,13.7,No,No,Lunch,11.18
2024-02-05,Monday,195,220,174,11.18,13.41,Yes,No,Dinner,9.45
2024-02-06,Tuesday,396,447,380,9.45,12.36,No,No,Breakfast,11.8
2024-02-07,Wednesday,820,920,798,11.8,12.38,No,No,Lunch,16.14
2024-02-08,Thursday,654,713,633,16.14,11.9,No,No,Lunch,10.77
2024-02-09,Friday,591,661,591,10.77,10.98,No,No,Lunch,8.97
2024-02-10,Saturday,440,463,363,8.97,11.57,No,No,Lunch,12.68
2024-02-11,Sunday,299,315,294,12.68,10.79,No,Yes,Breakfast,5.69
2024-02-12,Monday,489,539,450,5.69,10.8,No,No,Dinner,9.54
2024-02-13,Tuesday,602,691,547,9.54,11.43,No,No,Lunch,16.23
2024-02-14,Wednesday,559,596,559,16.23,10.39,No,No,Dinner,8.85
2024-02-15,Thursday,672,728,595,8.85,11.08,No,No,Lunch,15.6
2024-02-16,Friday,408,452,376,15.6,11.87,No,No,Breakfast,14.52
2024-02-17,Saturday,30,33,28,14.52,10.97,Yes,No,Dinner,6.38
2024-02-18,Sunday,373,405,334,6.38,11.17,No,No,Lunch,7.04
2024-02-19,Monday,557,619,557,7.04,10.76,No,No,Dinner,6.67
2024-02-20,Tuesday,723,819,690,6.67,10.64,No,No,Lunch,15.45
2024-02-21,Wednesday,668,744,588,15.45,12.3,No,No,Lunch,20.44
2024-02-22,Thursday,481,496,436,20.44,11.48,No,No,Dinner,9.89
2024-02-23,Friday,354,393,300,9.89,11.42,Yes,No,Lunch,14.07
2024-02-24,Saturday,447,461,390,14.07,12.15,No,No,Lunch,11.5
2024-02-25,Sunday,218,228,183,11.5,12.58,Yes,Yes,Lunch,10.02
2024-02-26,Monday,710,801,692,10.02,13.7,No,No,Lunch,14.5
2024-02-27,Tuesday,318,348,318,14.5,12.59,No,No,Breakfast,7.72
2024-02-28,Wednesday,328,375,290,7.72,11.5,No,No,Breakfast,12.79
2024-02-29,Thursday,617,671,582,12.79,12.15,No,No,Lunch,14.46
2024-03-01,Friday,698,764,629,14.46,12.55,No,No,Lunch,16.83
2024-03-02,Saturday,417,435,373,16.83,12.87,No,No,Dinner,13.79
2024-03-03,Sunday,449,508,426,13.79,13.0,No,No,Lunch,10.93
2024-03-04,Monday,662,722,662,10.93,12.34,No,No,Lunch,9.86
2024-03-05,Tuesday,543,621,543,9.86,12.88,No,No,Dinner,11.52
2024-03-06,Wednesday,515,558,515,11.52,12.3,No,No,Dinner,8.69
2024-03-07,Thursday,342,357,336,8.69,11.21,Yes,No,Lunch,6.86
2024-03-08,Friday,501,516,452,6.86,10.01,No,No,Dinner,8.42
2024-03-09,Saturday,468,525,421,8.42,10.25,No,No,Lunch,15.46
2024-03-10,Sunday,470,488,398,15.46,10.07,No,No,Lunch,9.71
2024-03-11,Monday,526,560,505,9.71,10.01,No,No,Dinner,9.43
2024-03-12,Tuesday,467,503,411,9.43,9.91,No,Yes,Breakfast,10.78
2024-03-13,Wednesday,687,746,660,10.78,10.23,No,No,Lunch,10.97
2024-03-14,Thursday,701,732,652,10.97,11.07,No,No,Lunch,12.69
2024-03-15,Friday,335,373,324,12.69,11.23,No,No,Breakfast,9.58
2024-03-16,Saturday,399,423,334,9.58,10.57,No,No,Dinner,10.85
2024-03-17,Sunday,571,607,531,10.85,10.82,No,Yes,Lunch,11.44
2024-03-18,Monday,435,492,426,11.44,10.93,No,No,Breakfast,10.23
2024-03-19,Tuesday,697,750,697,10.23,10.74,No,No,Lunch,9.4
2024-03-20,Wednesday,488,558,428,9.4,11.39,No,No,Dinner,15.52
2024-03-21,Thursday,403,439,372,15.52,10.82,No,No,Breakfast,8.74
2024-03-22,Friday,375,420,371,8.74,10.57,No,No,Breakfast,7.82
2024-03-23,Saturday,437,485,414,7.82,10.35,No,No,Lunch,9.33
2024-03-24,Sunday,431,477,431,9.33,9.57,No,No,Lunch,5.94
2024-03-25,Monday,621,701,581,5.94,9.44,No,No,Lunch,9.36
2024-03-26,Tuesday,248,270,240,9.36,8.53,Yes,No,Lunch,3.0
2024-03-27,Wednesday,315,336,296,3.0,7.27,Yes,No,Dinner,6.68
2024-03-28,Thursday,454,509,416,6.68,7.58,No,No,Breakfast,10.96
2024-03-29,Friday,127,136,119,10.96,7.4,Yes,No,Dinner,6.55
2024-03-30,Saturday,186,211,179,6.55,7.0,No,No,Breakfast,6.49
2024-03-31,Sunday,214,232,190,6.49,7.01,No,No,Breakfast,6.06
2024-04-01,Monday,523,600,500,6.06,7.16,No,No,Dinner,10.36
2024-04-02,Tuesday,400,449,352,10.36,8.72,No,No,Breakfast,13.92
2024-04-03,Wednesday,683,724,656,13.92,9.16,No,No,Lunch,9.79
2024-04-04,Thursday,650,744,599,9.79,10.21,No,No,Lunch,18.32
2024-04-05,Friday,311,350,311,18.32,10.11,No,No,Breakfast,5.82
2024-04-06,Saturday,70,74,66,5.82,9.74,Yes,No,Lunch,3.92
2024-04-07,Sunday,464,481,435,3.92,9.7,No,No,Lunch,5.78
2024-04-08,Monday,526,603,504,5.78,10.11,No,No,Dinner,13.23
2024-04-09,Tuesday,644,714,606,13.23,10.2,No,No,Lunch,14.57
2024-04-10,Wednesday,495,523,455,14.57,10.37,No,Yes,Breakfast,10.98
2024-04-11,Thursday,336,363,312,10.98,8.89,No,No,Breakfast,7.92
2024-04-12,Friday,639,716,543,7.92,11.53,No,No,Lunch,24.29
2024-04-13,Saturday,273,299,272,24.29,12.0,No,No,Breakfast,7.23
2024-04-14,Sunday,178,184,165,7.23,11.78,No,No,Breakfast,4.21
2024-04-15,Monday,691,747,661,4.21,12.08,No,No,Lunch,15.36
2024-04-16,Tuesday,588,639,534,15.36,12.25,No,No,Dinner,15.78
2024-04-17,Wednesday,465,490,432,15.78,12.26,No,No,Dinner,11.02
2024-04-18,Thursday,746,826,721,11.02,12.91,No,No,Lunch,12.5
2024-04-19,Friday,432,451,416,12.5,9.77,No,No,Breakfast,2.32
2024-04-20,Saturday,403,415,359,2.32,10.1,No,No,Lunch,9.52
2024-04-21,Sunday,486,519,472,9.52,10.65,No,No,Lunch,8.06
2024-04-22,Monday,590,654,497,8.06,11.1,No,No,Dinner,18.5
2024-04-23,Tuesday,717,820,609,18.5,13.24,No,No,Lunch,30.77
2024-04-24,Wednesday,596,680,558,30.77,15.15,No,No,Lunch,24.41
2024-04-25,Thursday,744,831,676,24.41,17.1,No,No,Lunch,26.14
2024-04-26,Friday,747,819,729,26.14,18.86,No,No,Lunch,14.6
2024-04-27,Saturday,446,479,413,14.6,19.08,No,No,Lunch,11.07
2024-04-28,Sunday,531,601,494,11.07,19.85,No,No,Lunch,13.49
2024-04-29,Monday,587,615,513,13.49,19.31,No,No,Dinner,14.69
2024-04-30,Tuesday,435,491,435,14.69,16.47,No,No,Breakfast,10.92
2024-05-01,Wednesday,671,741,664,10.92,14.33,No,No,Lunch,9.39
2024-05-02,Thursday,246,263,220,9.39,11.71,Yes,No,Breakfast,7.79
2024-05-03,Friday,693,730,693,7.79,10.26,No,No,Lunch,4.49
2024-05-04,Saturday,390,447,364,4.49,10.29,No,No,Lunch,11.27
2024-05-05,Sunday,422,454,374,11.27,9.91,No,No,Lunch,10.85
2024-05-06,Monday,703,730,667,10.85,8.97,No,No,Lunch,8.11
2024-05-07,Tuesday,708,784,700,8.11,9.28,No,No,Lunch,13.06
2024-05-08,Wednesday,690,759,651,13.06,10.03,No,No,Lunch,14.67
2024-05-09,Thursday,241,261,222,14.67,10.37,Yes,No,Breakfast,10.16
2024-05-10,Friday,486,544,448,10.16,11.5,No,No,Dinner,12.41
2024-05-11,Saturday,227,249,227,12.41,10.98,No,No,Breakfast,7.59
2024-05-12,Sunday,263,271,252,7.59,9.87,No,No,Breakfast,3.12
2024-05-13,Monday,660,737,660,3.12,10.01,No,No,Lunch,9.04
2024-05-14,Tuesday,461,508,433,9.04,9.78,No,No,Dinner,11.47
